"Draw date","Results","Winning Numbers",,,,,,"B","Jackpot","Jackpot",,,,,,,
11/7/2015,"2 3 34 43 49 50 38 There were 21 Lotto Raffle numbers in this draw",2,3,34,43,49,50,38,"£13,156,375 Rolled","£13,156,375",,,,,,,
11/4/2015,"11 13 18 25 29 47 59 There were 21 Lotto Raffle numbers in this draw",11,13,18,25,29,47,59,"£8,842,605 Rolled","£8,842,605",,,,,,,
10/31/2015,"26 39 41 42 55 59 16 There were 21 Lotto Raffle numbers in this draw",26,39,41,42,55,59,16,"£6,677,278 Rolled","£6,677,278",,,,,"Before October 2013","Before October 2015 Estimates","After October 2015 Estimates"
10/28/2015,"26 36 41 46 49 52 9 There were 21 Lotto Raffle numbers in this draw",26,36,41,46,49,52,9,"£2,319,221 Rolled","£2,319,221",,,,"Match 3 main numbers",£10.00,£25.00,£25.00
10/24/2015,"29 31 43 55 58 59 11 There were 21 Lotto Raffle numbers in this draw",29,31,43,55,58,59,11,"£4,307,602","£4,307,602",,,,"Match 2 main numbers","n/a",,"One free Lotto Lucky Dip"
10/21/2015,"13 14 21 25 51 53 39 There were 21 Lotto Raffle numbers in this draw",13,14,21,25,51,53,39,"£14,612,465","£14,612,465",,,,,,,
10/17/2015,"8 30 37 40 46 50 36 There were 21 Lotto Raffle numbers in this draw",8,30,37,40,46,50,36,"£12,110,605 Rolled","£12,110,605",,,,,,,
10/14/2015,"7 13 20 27 39 52 35 There were 21 Lotto Raffle numbers in this draw",7,13,20,27,39,52,35,"£7,875,986 Rolled","£7,875,986",,,,,,,
10/10/2015,"2 3 16 32 53 54 8 There were 45 Lotto Raffle numbers in this draw",2,3,16,32,53,54,8,"£5,279,697 Rolled","£5,279,697",,,,,,,
10/7/2015,"5 7 11 30 44 49 25 There were 50 Lotto Raffle numbers in this draw",5,7,11,30,44,49,25,"£3,348,134","£3,348,134",,,,,,,
10/3/2015,"7 8 9 14 35 44 4 There were 50 Lotto Raffle numbers in this draw",7,8,9,14,35,44,4,"£3,049,537 Rolled","£3,049,537",,,,,,,
9/30/2015,"5 8 11 17 40 45 6 There were 50 Lotto Raffle numbers in this draw",5,8,11,17,40,45,6,"£1,621,605","£1,621,605",,,,,,,
9/26/2015,"9 17 31 33 41 42 26 There were 50 Lotto Raffle numbers in this draw",9,17,31,33,41,42,26,"£5,142,260","£5,142,260",,,,,,,
9/23/2015,"9 17 21 23 35 36 37 There were 50 Lotto Raffle numbers in this draw",9,17,21,23,35,36,37,"£1,919,343 Rolled","£1,919,343",,,,,,,
9/19/2015,"14 26 28 31 32 44 22 There were 50 Lotto Raffle numbers in this draw",14,26,28,31,32,44,22,"£2,012,794","£2,012,794",,,,,,,
9/16/2015,"12 14 21 22 37 43 36 There were 50 Lotto Raffle numbers in this draw",12,14,21,22,37,43,36,"£2,237,284","£2,237,284",,,,,,,
9/12/2015,"14 20 28 31 40 46 44 There were 50 Lotto Raffle numbers in this draw",14,20,28,31,40,46,44,"£4,668,787","£4,668,787",,,,,,,
9/9/2015,"6 18 20 21 29 31 3 There were 50 Lotto Raffle numbers in this draw",6,18,20,21,29,31,3,"£1,782,588","£1,782,588",,,,,,,
9/5/2015,"24 29 33 40 43 49 22 There were 50 Lotto Raffle numbers in this draw",24,29,33,40,43,49,22,"£5,006,137","£5,006,137",,,,,,,
